sent_rating,processed_text_NoStopwords,data
positivo,tinha tido contato assistente virtual comprei receoso bobo arrepender acabou resolvi investir e arrependo 4 a Alexa e utilize skills uso escutar músicas e podcasts utilizo o Spotify Premium e controlar a luz a Lâmpada Positivo simples comando voz Alexa toque Bastille Alexa ligue a lâmpada perguntar questões surgem dia a dia Alexa cachorro comer macarrão hahaah despertador sendo o melhor deixar acorda a casa inteira tá aprovada n quesito haha,2021-07-22 00:00:00
negativo,o produto e formidavel porem ativei o Merliuz receber 9 volta a empresa Amazon alegando usei outro canal chegar ate d ativei e comprei o produto ativo tres nao erro a Amazon alega nao o fiz ja e a acontece a Amazon empresas pagam direitinho dica Amazon nao O Merluz ja alega nao ativei e usei chegar ate vcs porem o pc e cheguei ate vcs Merluz Solicitação r 1338288,2021-02-09 00:00:00
positivo,"O produto o alcance microfone surpreendeu sendo capaz escutar outro cômodo reproduzindo nenhum som O volume alto e consegue preencher o ambiente o cozinha 4 m x 4,5 m espere refinamento qualidade sonora principalmente volumes altos aplicativo Alexa encontra controles equalização graves médios e agudos chega a solução Tenha mente opção escutar músicas dia a dia substituta caixinha som festinhas casa puder né amor a pandemia acabou recomendaria comprar a Echo a assistente Alexa respostas incrivelmente rápidas e precisas o reconhecimento voz falando quase falha",2020-12-19 00:00:00
positivo,Uso diariamente ouvir música filhos usam brincar o produto Vale a pena adquirir faltou funcionar caixa som bluetooth o notebook tb melhor sincronia o aplicativo amazon music celular coloco escutar echo dot e bloqueio celular tocando a conexão o celular escolher música alguma playlist perde pra reconectar demora e q tentativas conecte novamente Conexão P2 testei funciona ligar caixa potente echo dot consegui funcionar,2021-01-24 00:00:00
negativo,casa e possui itens repetem ar condicionado quartos e 7 ventiladores separando ambiente o site alexa orienta fica perdida peço ligar d sala esperava a o pedir ligue ventilador identificasse o ambiente a resposta a mesma comodo existem o nome ventilador seja especifico adiantou criar comodos e descrever itens n alterar nomes e o comando ligar desligar ficou Alexa ligue o ventilador Gustavo a alexa Gustavo redundante e ligar simples ligue o ventilador problema conta AGL atualizou melhorando a poucos achei descepcionante,2021-01-24 00:00:00
positivo,O produto a qualidade som surpreendeu a microfones testes bons há fonte som echodot há dificuldade o dispositivo escutar o comando satisfeito o resultado obtido Irei comprar dispositivos som estéreo,2020-12-22 00:00:00
positivo,A qualidade som especialmente tratando equipamento pequeno Som forte límpido tendo distorções graves a o volume distorções ruins captação sensibilidade microfones dei comandos Alexa a distância cerca 7 metros cômodo gritar O software respondeu quaisquer problemas Experimentei único a captação funcionou problema claramente software hardware A Alexa funciona interpretando corretamente expressões uso quase situações,2021-02-03 00:00:00
positivo,Melhor assistente há!Me lembra compromissos esclarece dúvidas traduz palavras conta histórias e piadas auxilia a montar playlists e mais!Traz novidades lê notícias e sugestões baseadas n procuro extrema cordialidade!É verdadeira encantadora visitas conhecer a 3 amigos compraram suas)!Surpreendente,2021-07-08 00:00:00
positivo,Vejo reclamando microfone a geração anterior comparar aquisição achei excelente o produto Alta qualidade som reconhece a comandos Realmente o reconhecimento voz falho caso tenha ruído ambiente música estiver distante E a ligação alexa consigo reconhece contatos únicos negativos encontrei pago e entrega excelente produto,2020-11-17 00:00:00
negativo,modelos atendeu expectativas bonita foto feia peca acabamento demora a reconhecer comandos e muitas desisto e falo O som faça superior a Dot Echo Show 5 e inferior a Show 8 comparação a Dot 3ª geração compensa trocar encantei a beleza aparentava foto a tirei caixa veio a decepção feia,2022-03-10 00:00:00
negativo,produtos Amazon Echo primeiros Brasil o assunto casa inteligente motivo criei muitas expectativas o produto e frustrei dispositivo a Alexa voz agradável jogos legais qualidade som e o design lindo impossível mora pessoa casa A Alexa oferece criar perfis serviços personalizados Brasil O produto destinado mora sozinho travado a conta Amazon o feito será d conta cadastrada experiência ruim pessoas casa pedindo pra tocar música e tocar serviço mãe lembrete e mandar notificação pra mim e pra motivo acabei devolver o produto fosse problema simplesmente perfeito O reconhecimento voz e a Alexa dispositivos casa inteligente Brasil Amazon introduza o Amazon Household Brasil será sucesso,2021-07-15 00:00:00
positivo,contrário muitas avaliações li o Echo Dot reconhece voz precisar gritar e apresentado a surdez geração 3 O som alta qualidade defeitos ambiente uso gostei haver botão desligar o aparelho totalmente A única tirar tomada o certo medo estragar o Echo Dot achei desgastante configurar a rede wifi aparelho conectou a o 2 G e consegui mudar o 5 G erro Hoje 2h tocando estação rádio parou tocar sozinho descobri o motivo acredito tenha sido bug Alexa Echo Dot satisfeita,2021-06-24 00:00:00
positivo,Gostei aquisição ouço musicas rádios e várias atividades podemos utilizar apresenta problemas skils Ligar contato a Alexa problema entender o nome preciso várias conseguir A Skil Sony funciona A rotina criei apresentar o resumo noticias dia mostrar o resumo dia repete resumos dias anteriores chato Espero problemas sejam corrigidos versões,2021-07-16 00:00:00
negativo,"Atualizando avaliação echo dot 4,Ela tendo problemas pra reconectar internet o Wifi cai echo dot 3 reconecta hora echo dot 4 tendo dificuldade executar tarefas e rotinas simples acender a luz e desligar a luz acontece horas e começa a acontecer echo dot 3 começa a escutar e escutar tarefas e a echo dot 4 fica off line voltar a funcionar o spotify e tarefas e rotinas desligar tomada e religar-la!""Eu gostei echo dot echo coloco casa percebi escuta a echo dot 3 falando echo 4 executa o comando a echo 3",2021-06-29 00:00:00
negativo,3 Echos diferentes dot 3 dot 4 e Echo 4 e usando 14 dispositivos inteligentes afirmar echo dot 4 a surda familia reclamam posicionadas altura media sinal forte Wifi e específico modelos 4 costas parede projetas A Echo 4 som premium a melhor escuta seguida Echo dot 3 irrite o som d melhor graves dot 3 e o led incômodo escuro tivesse experiência teria comprado echo dot 3 a o invés d e a 3 barata,2021-05-22 00:00:00
positivo,Excelente considerando o ambiente Alexa Funciona lembretes pra músicas Amazon music A criação rotinas excelente partirmos apps terceiros a experiência mediana ruim tocar músicas Apple Music a Alexa entender playlist artista Apple Music missão quase impossível O acontece o tune in e radio skills existentes quase impossível a Alexa entender o q querendo sintonizar frases citadas rotinas conter palavras chaves Alexa confunde criar rotina sintonizar rádios preferência a frase sintonizar rádio música francesa a Alexa entende executar rotina,2021-08-15 00:00:00
positivo,Produto funciona perfeitamente a ideia automatizar a casa fiz será preciso paciência Alexa produto utilizando conjunto configurações intuitivas ler tutoriais executar funções entender sistemas funcionam sairá satisfeito a compra acha a Alexa sozinha casa so responder dia e vc frustrar,2021-04-16 00:00:00
negativo,A mídia carregada ano uso a Echo Dot apresentando problemas reconhecimento voz A mesma fica offline aplicativo Alexa e vídeo reconhece O suporte fica pedindo mesmos procedimentos entro contato Reiniciar a Rede Retirar Força e colocar formatar a Alexa deixar tocando música pra puxar dados Wi-fi Resolve temporariamente 24 horas o problema volta.- O problema rede 2 Echo Dot geração 1 Echo Show lampadas e alarme positivo vinculados mesma rede problemas.- A mesma observado o botão mute Mudo habilitado recomendo pra comprar Echo Dot seja a geração,2022-02-10 00:00:00
positivo,Gostei reconhecimento voz acho funções inúmeras e fiquei triste tinha manual comando diferentes gostaria sugestões comandos manual junto o produto O som espera Amazon entretanto preço difícil chegar a som melhor pago realmente espera Fiquei surpreso descobri o Alexa Som PREMIUM decepcionei vale a compra Melhorando o som segurar festa 20 pessoas falando e som volume acho o suprasumo idea legal principalmente pensando comprar a lâmpada conectar a Alexa Pra entende tecnologia mão roda Pra fã começo casa conectada e a criação preguiça hora dormir e falar pra Alexa apagar a luz deitado cama haha sonhando Festa luz piscando luz balada haha procurar lâmpada Amazon haha Aproveite d jeito a balada casa a pandemia hahaha,2021-01-14 00:00:00
positivo,comprei Alexa e adorei atualização parou funcionar jeito precisei envia-la e comprar esperando reembolso ainda).Essa chegou a caixa amassada e surda responde a trouxe alegria novamente a o lar Recomendo a compra precisa funcionar direito,2021-06-17 00:00:00
positivo,"Fiquei querendo comprar acabava desistindo devido a preço x utilidade Acabei comprando Black Friday R$ 249,00 e arrependi acabou tornando item indispensável casa ouvir músicas gostei qualidade som a lista mercado ouvir notícias conheci a CNN Business previsão definir timer etc Consegui abra aplicativos Mibox o a tornou útil O passo comprar lâmpadas smart controle universal etc torná-la útil a melhorar poucas reconhece o falo pontual Enfim recomendo fortemente a compra",2020-12-17 00:00:00
positivo,Alexa presente aniversário e o melhor presente hoje Linda versátil várias funções descobri Adoro dia pra curiosidades o dia e a previsão Esperando skils possa interagir a TV abrir App específico ótima perco o controle e preciso passar a série O som excelente chega jbl impressionei a qualidade e o volume som pra incomodar vizinhos kkkkkA única incomoda bateria interna o fio atrapalha deixa o ambiente feio feita pra transportada vamos esconder fios kkkkEla a sensação casa o gato ficou ciúmes,2021-02-25 00:00:00
positivo,o assistente alexa motivos testei e úteis.- o alarme casa uso despertador- peço pra avisar coisas importantes agenda.-me auxilia treinos peço a timer 1 m pulando serve pra cozinhar.- ouço podcasts ajeito a casa 2 atvds 1.- a qualidade som absurda uso hometheater hora filmes família.- peço notícias e escuto esforço uso frequência altamente recomendo a compra,2022-03-08 00:00:00
negativo,Infelizmente funcionalidades Brasil bobas e ativar o produto e aplicativo Inglês funciona integralidade Disseram funciona o roteador 4 G celular internet wi-fi inconstante chorar passar 1 dia internet utilizar o dispositivo o cabo auxiliar P2 há a opção aplicativo habilitar a função consultando diversos guias Internet Lamento ficar produto correspondeu expectativas,2020-12-25 00:00:00
negativo,O produto decepcionante A captação voz ruim muitas entende o comando a inteligência artificial promessa cumprida o dispositivo pré programado e aparenta utilizar machine learning skills jogos falham hora e simplesmente parar utilizar A busca informações limitada pior busca simples o Google Assistente utilizando automação residencial avaliar quesito compraria novamente e pudesse devolveria o produto Amazon,2021-02-07 00:00:00
positivo,Funcionamento perfeito vou falar negativos comprei cor preta combinar o móvel ficará o fio e o carregador brancos acabando a estética tinha imaginado Senti muitas funções básicas achei teria ligar Xbox One voz vi países acessar serviços streaming Smartv ligar desligar regular volume e controlar vídeos filmes reprodução).Espero a Amazon traga atualizações o potencial produto espetacular faltam ferramentas d,2020-12-01 00:00:00
positivo,Excelente produto Imaginava a o comprar o Echo iria produto diversão e funcionalidades básicas iria automatizar a casa surpreendi expectativas O áudio excelente conecta rápido a dispositivos bluetooth e a rede WI-FI.As skills diversas e funcionalidades o dia a dia A Echo conteúdo jornalístico educacional entretenimento segurança familiar segurança aparelhos dentre O áudio excelente e possui níveis áudio aviso o som alto 3.Tem a funcionalidade ligação contatos celular entretanto caso queira ligação Echo Echo Echos ligados mesma rede WI-FI mesma casa residência a conexão dispositivos conectados aplicativo Alexa comandos a distância Basta conexão a internet aprovo o produto qualidade funcionalidades e ajudar tarefas simples e corriqueiras deixando certas atividades mecânicas sejam feitas mecânico economizando tarefas acabam tomando E o melhor produto serve a família,2021-07-22 00:00:00
negativo,Infelizmente li comentários relatando a dificuldade produto ouvir o comando acredito problema software e hardware produto E motivo creio resolver Digo escutou várias a o d escutou problema certo existe disconecta dispositivo bluetooth ouvir quase 100 e d apertando o botão silenciar voltar a ouvir comandos Ansioso atualização corrigir problema a Amazon deixar o mão n sentido,2020-12-04 00:00:00
positivo,A mídia carregada Linda som Maravilhoso E comecei a direto gostando passei feedback pra falar a vdd péssimo E qlq outro humano errei avaliação viver Alexa vdd viver a gente consegue viver Jesus hj venho retratar e tirei a avaliação antiga o certo alexa A única q sugiro poderia alexa a Bateria funciona tomada resto NOTA 10 100 Peço desculpas avaliação anterior avaliei dias E hj uso entendo ela(alexa).Obrigada!Já vou comprar a geração sair vou terminar pagar a,2021-11-25 00:00:00
negativo,Dispositivo excelente controle automação residencial entende comandos e raramente falha n sentido ótimo ajudar cozinha a criação timers enfim existem positivos tempos pra surgiu positivo levou a avaliação alertar usuários CONFIE LEMBRETES RECORRENTES ALEXA alguma razão nenhum sentido lembretes ficam associados a o dispositivo a o invés ficar associado a conta Amazon necessário algum configuração troca Echo perderá lembretes criados e existe recuperação aconteceu comigo conta travamentos Echo precisei reseta-lo perdi muitissimos lembretes quase usando o dispositivo finalidade função considero inexistente melhor o celular Siri Google Assistant seguro,2021-11-17 00:00:00
positivo,coisas importantes e divertidas a Alexa cumpre papel assistente dificuldades entender palavra estejamos falando enrolado kkk atrapalhe O som d A única achei o tamanho cabo curto legal conseguir enviar mensagens voz Alexas amigos tocar dedo celular vida valeu centavo ouvir a Alexa fazendo beatbox <3,2021-06-24 00:00:00
positivo,Percebi a qualidade construção aparelho ótima abri a caixa sólida A qualidade som tamanho bolinha surpreende e preenche médio Notei a graves esperado Possuo a Echo 3 e a Echo Show 5 e a capacidade preenchimento ambiente semelhante a menorzinha passa vergonha!Recomendo a compra produto,2021-06-23 00:00:00
positivo,O Amazon requer muitas melhorias e aperfeiçoamentos A assistente lida siglas lida palavras inglês confunde nomeamos dispositivos inteligentes a serem controlados nomes parecidos e faltam várias coisas rotinas construir automações complexas possibilidades muitas a o altamente recomendável útil casa e coisas literalmente dia a dia qualidade som o o Echo Dot 4a geração propõe faixa preço,2021-07-10 00:00:00
positivo,"Aproveitei o Amzon Prime day e adquiri echo dot e confesso satisfeito o produto A legal a possibilidade automatizar a casa pedindo a alexa faça funções desligar,/acender luzes televisões e etc skills funcionalidades utéia confesso desenvolvedores poderiam atualiá-las frequência adicionando recursos e corrigindo erros Confesso ás a echo dot 4º geração surda a o chamá-la gritar entenda gostei som apesar ás notei falha áudio a Alexa fala parecendo pique corte voz a o certo problema echo dot falha conexão acontece ás acho falha conexão ligada a repetidor .No nota 8,9 há muitas coisas precisam melhorar conversas contínuas e contexto funcionalidades melhorias voz Alexa principalmente a o pronunciar palavras R recursos e funcionalidades melhorar o beat box horrível e coisas há pro funcionalidades e integração a casa inteligente comprar tantos produtos extras e caros produtos serve a previsão e ouvir música ficando limitada a propõe a excelente produto espero evolua o Recomendo",2021-07-19 00:00:00
positivo,A mídia carregada Gente vou sincero vocês!Confesso vendo avaliações escutava fiquei receoso comprei amazon prime day hoje dia percebi consegue ouvir tiver outro som(mesmo sendo ficou tv e falar alto Acabei fazendo dança cadeiras coloquei a 3 sala e a 4 a diferença o áudio 4 limpo alto estoura músicas digo a a 3 perfeita amo jeitos escuta lados o som maravilhoso e estoura jeito nenhum vou semana a 4 e o desempenho caso enxergue negativos vou trocar 3,2021-06-24 00:00:00
positivo,A mídia carregada Cumpre o promete Aliado a lâmpadas Smart torna excelente ferramenta pra criar clima ambiente O reconhecimento voz reconhece cochichando e o som satisfatório e claro O único o cabo alimentação fica escondido interessante fosse escondido base ficaria melhor pra modelar e deixar encostado painel achei o cabo cor branca ficou legal fica visível fundo nicho rack,2021-09-02 00:00:00
negativo,6 dia lenta muitas ouve a gente pedir entende errado e entende o resposta gigante 1 minuto pedirmos pra apagar a luz programar alarme Compramos ano e escuta o estamos tentando falar e responde errado O resposta beeem diferente mostrando claramente defasada seja o modelo geração,2021-12-01 00:00:00
positivo,proprietário 2 Echo Dot 3a geração e 1 4a geração Infelizmente vicia comprar Comprei o brinquedo filha a o começar a e infinitas possibilidades o produto comprei O som excelente funciona perfeitamente sincronizada conta Spotify e consegue animar reunião amigos facilmente Capta a voz facilidade falando volume normal e a distância média comparação o Echo geração percebi a surdez relatam O som d ligeiramente superior disposição diferente falante interior alguma alteração hardware software uso sério automação dispositivo divertido existem várias skils lazer jogos piadas etc agradam crianças e adultos Hoje consigo consultar comando voz agenda diária a previsão principais notícias dia e curiosidades a data o prático e fácil insiro compromissos e lembretes dispositivo rápida excelente gadget agrega atividades domésticas diversão recomendo a A entrega Amazon leva média 2 dias moro interior tendo comprado durante a Black Friday positivo,2020-12-01 00:00:00
negativo,assistentes pessoais tecnologia estágios iniciais desenvolvimento a gente O problema dispositivos Echo especialmente d última geração apresentam dificuldade irritante reconhecer a palavra ativação costumava pensar q alguma falha projeto q afetava microfones O problema o software Explico raro chamar alexa e ñ ouvir estando o caso Echo q fica criado mudo chamar aumentando o volume voz q descobri ñ problema nenhum escutar modo sussurro seja o problema d ñ hardware microfones captam a voz o processamento d deficiente explicar ouvir sussurro e surda chamo a voz normal?E a ñ corrigido q existem reclamações comportamento errático dispositivo,2021-08-18 00:00:00
negativo,a Echo Dot 4ª Geração ótima Comprei presente Dia Namorados esposa infelizmente descrição produto NENHUM cita o cabo + fonte brancos independente cor escolhida preta cinza branca).No caso Alexia preta cabo e fonte brancas a estética ficou péssima ala fica alocada superior buffet a tomada acima sendo difícil esconder a fiação O deixou surpreso a Echo Dot 3a geração cunhado possui fonte preta cor produto deveria superior houve NÍTIDO RETROCESSO,2021-06-14 00:00:00
positivo,Confesso comprei a Alexa certa desconfiança conta avaliações usuários esteja há semanas crítica a o moro apartamento e utilizo o equipamento sala e cozinha integradas o reconhecimento voz ocorrido problema fiz inúmeros testes o aparelho solicitando pedidos música específicos spotify previsão alarmes e aconteceu intercorrências d achei configurações acessíveis dificuldade tecnologia contar o equipamento extremamente enxuto e ocupa espaço mesas racks Espero retornar futuramente reavaliar o equipamento,2022-03-07 00:00:00
positivo,Comprei promoção e valeu a pena surpreendi a qualidade sonora o tamanho d engana potência sonora ótimos graves gostei d n quesito li avaliações dizendo surda responde normalmente consegue ouvir tocando música alta comandos respondidos rapidamente e a dicção alexa incrivel a assistente virtual a fala robótica vi muda a entonação acordo pontuações impressionante capacidade d configurei pra acordar aulas universidade e horas a previsão informa noticias consigo controlar xbox problemas comprarei lâmpada smart controlar Concluindo vale a pena comprar tiver grana sobrando dispensável curte assistente auxilia dia a dia suprir e deixa a desejar quesito conectividade o spotify controlado voz algum dispositivo funciona caixinha bluetooth e entrada auxiliar A qualidade explica o preço salgado d Nota 10 produto interessante e intuitivo recomendo a compra,2021-07-06 00:00:00
positivo,A mídia carregada dúvidas a captura som vi comentários surda comigo funciona super Comprei lâmpadas e realmente abajur luminária a o cama deitar tranquilo e pedir pra Alexa apagar o sons dormir achei bobagem ajuda muuuuito!!Gostei querendo pra espalhar casa,2021-07-14 00:00:00
negativo,O hardware si e respostas Alexa bons configuração inicial fáceis praticamente pronto o App iOS confuso menus desorganizados e sub-agrupados refazer modificar opões torna chato Criar rotinas tbm problemas palavras parecem associadas a skills específicos a Alexa compreende e executa o skill a rotina Fica a dica TVs LG FUNCIONAM adequadamente conectadas o Echo Dot brasil skill super limitado e únicos comandos ligar desligar e mudar volume permitem mudar canal ultima a a Alexa acredito a Amazon poderia reforçar parceiras empresas promovendo skills ajudariam a Alexa a tornar útil,2021-12-10 00:00:00
negativo,Bacana a fonte alimentação e o fio BRANCOS e o Echo Dot PRETO fica horrivel cuidado o motivo havia casamento cor Triste a Amazon tenha cuidado,2021-06-26 00:00:00
positivo,comparação rivais Siri e Google Assistent a Alexa sai rotinas domésticas básicas prática engasga a busca Internet forte insuperável Google Assistent e Google Smat Home A sensibilidade microfone Echo Dot sendo consigo controlar a Alexa outro cômodo casa Acontece a gente pedir e responder responder totalmente aleatória ok A qualidade som impressiona Escutar músicas Amazon Music traz experiência completamente inédita navegar músicas sucesso determinado ano maiores problemas chamadas skills seriam aplicativos Muitas funcionam direito a skill Uber capaz chamar nenhum carro A Skill iFood descontinuada existe a possibilidade pedidos problemas a skills a Alexa traz ótimas soluções útil estudar pedir ler livro Kindle e pronto companheira turma acompanhar a leitura lê e d a gente fazendo resumos e fichamentos perfeita,2021-12-06 00:00:00
positivo,chegou esperado e embalada a qualidade d atende a comandos dou 5 estrelas sabia funciona tomada vou sócia Enel dificuldad dificulta levar pra ambientes e pra sala aula objetivos compra amiga a geração 3 e a d funciona a bateria decepcionou resto compraria novamente a função bateria tiver alguém ajuda,2021-03-19 00:00:00
positivo,aborrecida a assistente virtual Google funciona tantas Alexa falhou modo sono maravilhoso deitada e peço músicas relaxantes fico comando divirto interagindo Acenda a luz pare a música A qualidade som mim gosto som alto recomendo!Tenho 63 anos amo a tecnologia,2021-07-09 00:00:00
positivo,Adorei presente mãe 94 anos passou a escutar musicas gosta dias alegrando vida idade o idoso dificuldades enxergar e manipular eletrônicos caso o comando voz auxilia,2021-08-27 00:00:00
negativo,querida Alexa legal!No entanto vamos avaliar intenção automatização decepcionei Apesar várias skills desenvolvimento inicial difícil encontrar avaliações negativas a o mau funcionamento d Precisa atenção o posicionar dispositivo ficar ruim acústica entender comandos facilidade Há vídeos sugestões uso Alexa YouTube entra a custo-benefício interesse incrementar automatização contínuo trabalhando achei interessante o fato a Alexa aprendendo a rotina conforme o uso,2021-07-18 00:00:00
positivo,dispositivo legal Capaz mudar a maneira lidar a rotina dia a dia O som d simples liguei a caixa som blitzwolf e o som ficou incrível recursos inteligência virtual lâmpadas inteligentes leds e fire stick consigo controlar luzes casa e tv comandos voz legal criar rotinas desligar hora dormir acender gradativamente luzes hora acordar acender luzes casa o sol e informações a o trânsito o trabalho e agenda dia acordo investimento vale a pena transformar a casa smart home a echo dot lâmpadas e o fire stick limita produtividade,2021-07-19 00:00:00
negativo,Comprei o produto junho e vim avaliar celular mediano o moto g 8 power o aplicativo alexa trava hora acrescentar coisas facilidades existe preocupação atualizar o aplicativo alexa O microfone reconhece coisas facilidade e muitas causa irritação pq consigo o aplicativo e reconhece a voz Som a amplitude tb o volume Precisa melhorar muita atualmente uso reprodutor música esperava pq pra som investiria caixinha jbl barato e potente,2021-09-02 00:00:00
negativo,A mídia carregada alexa funcionou perfeitamente durante dezembro resolveu ia trabalho e dor cabeça dias reseto reinstalo reconecto tiro tomada e continua saindo ar e parando funcionar procurei o suporte amazon atencioso tinha resetado o aparelho a mesma fizeram acompanhar fazendo deu certo o a echo funciona echo dot deixando a desejar investimento,2022-02-11 00:00:00
positivo,Importante ressaltar ajuda pessoas leigas houver informações produto descobrir modelos o relógio estampado mim a invenção relógio digital antiga básico modelos terem e sabia descobrir fiz a compra informação vi enunciado apesar produto conta fato super novidade relógio estampado Achei bizarro o produto gostei e atendendo a configuração complicada pesquisei produto e comercializa usando completo ja interliguei partes casa controles otimizados etc,2022-03-02 00:00:00
positivo,o echo dot e adorei a experiência Uso ouvir música ouvir notícias previsão e utilidades conecto tv bluetooth e assisto filmes séries o áudio saindo echo dot a uso controlar o ar condicionado ligar desligar ajuste temperatura e a luz ligar desligar mudar cor mudar brilho únicos negativos pra mim possuir bateria e achei o cabo força desconecta facilmente adorei a compra consegue conhecer a voz e voz registrada E achei o microfone,2022-01-22 00:00:00
positivo,Comprei presente Natal filho família brinca a Alexa estamos curiosos A possibilidade configurar equipamentos wiffi funcional diria família gostou presente acredito funcional toma medicamento horários e precisa ficar lembrando informações O negativo precisa tomada deveria vir bateria celular A dependência tomada incomoda tira a funcionalidade promete,2022-01-05 00:00:00
positivo,Virou companheira fica computador substituiu caixinhas som PC e virou secretária controlando dispositivos consultório!O Som claro e alto o microfone precisa falar alto vale a pena!O único defeito pra mim skills principais APPS netflix e principalmente YOUTUBE o a amazon a google simplesmente empresas comunicam,2021-07-08 00:00:00
negativo,Comprei Echo dot 4ª geração utilizar funcionalidades ouço falar a decepção péssima experiência recursos internet oscilação e energia elétrica testei amperímetro o produto apresentava problema sincronização a o ligar ficava eternamente ligando s e s parava tocar a música Spotify repetidas sincronizava música frequência o dispositivo parava responder sincronizar estando sinalizando 3 flashes luz vermelha incessantes a o chamar a Alexa pressionar o botão ação problemas problemas acionados 4 suporte a empresa trabalha troca produto resolvi devolvê-lo,2022-01-26 00:00:00
negativo,decepcionada falha compreensão comandos tiver playlist o nome inglês esquece achar programar rotinas comando tbm deram certo Enfim custo benefício achei reconhecimento voz Tá funcionando caixinha som JBL IA,2021-09-07 00:00:00
positivo,realmente tinha necessidade comprar optei PrimeDay E garanto arrependi achar desnecessário digo mim divertido informação conhecimento e coisas legais Recomendo buscar vídeos mostram funções vale a pena A respeito reconhecimento voz configurado o Perfil voz configurações reconhece facilmente tons baixos a altos obviamente necessito falar voz alta e 99 entende perfeitamente A qualidade som visto versões superiores justamente som e deixa a desejar sonzinho maneiro deixar tocando recomendo a queiram baita assistente virtual consigo,2021-06-29 00:00:00
positivo,Adorando microfone realmente deixa a desejar chegou previsto e ocupada saindo banho e casa a hora q o entregador chegou e qdo atender ja entregando autorização o vizinho achei chato descobrindo funções gostei agenda preciso lembrar folhear avisa hora certinha compromissos valeu a pena o investimento,2021-06-29 00:00:00
positivo,automatizar casa o dispositivo trabalhe serve a temperatura a previsão dia seguinte despertar a integração o Deezer pedir a músicas disponíveis tenha entendido pedi Aterciopelados duo colombiano pop rock Lady Jane Rolling Stones,2021-07-10 00:00:00
positivo,Comprei Prime Day ótimo preço a exatos 30 dias e absolutamente reclamar contrário avaliações ouve d período acho repetir comandos O som excelentes graves o tamanho wi-fi distante roteador problemas conexão difícil encontrar ruim n sigo tentando Realmente acrescenta Hoje dia consumo conteúdo graças a principalmente podcasts e notícias aconselho a usuários julgam conhecimento tencologia super intuitivo e ajuda n quesito praticamente sozinha,2021-07-21 00:00:00
negativo,A problema ouvir chamo muitas estando a 30 cm escuta 5 ate 10 chamando,2020-11-14 00:00:00
positivo,O produto excelente Cumpre o promete fácil intuitivo e super divertido O som qualidade comparável caixa som JBL mini potência volume inferior qualidade O produto acabado bonito e discreto Deixa-nos instigados a comprar produtos automação tomadas inteligentes O recurso comunicação Echo simples e legal afinal cria espécie rede conectar amigos tbm dispositivos Brasil e mundo Inicialmente achei a conexão limitada a dispositivos conectados mesma rede Wi-Fi Grata surpresa!O negativo fica funcionamento único e exclusivo energia elétrica o limita uso caixa som portátil caso a JBL continua parceira parques acampamentos e locais relaxar música acesso fácil rede elétrica,2020-12-04 00:00:00
positivo,Possuo 4 dispositivos Echo Echo Dot recomendaria utilizado ambiente pequeno volume alto Recomendável pretende usá-lo automações seja pretende uso ouvir música a música espere graves potentes graves aceitáveis o tamanho dispositivo A melhor opção música qualidade e custo beneficio o echo 4 ° geração,2021-03-31 00:00:00
positivo,imaginava o Echo Dot fosse bacana superou espectativas piadas Alexa conta joga papo engraçadas A compreensão e o reconhecimento voz pessoa conversando impressionante E o fato d entender e assertiva frases longas e lógicas série Fire Stick e acho o Echo Dot consegue melhor A qualidade som ótima graves fortes e há distorção Recomendo Comprei pais e divertindo e aproveitando,2021-10-27 00:00:00
negativo,há poucas funcionalidades e habilidades existentes poucas funcionam realmente funcionam).Coisas básicas tocar música ler notícias e lembrá-lo compromissos precisa pronunciar o entenda Há diversas habilidades a o iFood sequer funcionam O app iFood 1 estrela Alexa ninguém consegue O controle casa inteligente razoável programar funcionar desejado d funções básicas mencionei a Alexa madura o suficiente entregar experiência funcionamento truncado,2021-08-02 00:00:00
negativo,O formato REDONDO dificulta o manuseio botões legal a botões plana igual a o Echo Dot 3ª Geração Outro negativo o fato fonte BRANCA o a pessoa pensar comprando produto APPLE e fabricado própria Amazon cor branca ficar roubando a cena negativamente associar automaticamente a fonte branca a APPLE entendi o passou cabeça engenheiro quis sair padrão cor preto Amazon motivos devolvi o produto visita pensando comprei a APPLE fato fonte branca,2020-12-30 00:00:00
positivo,caixinha som ótima qualidade e potente preço funcionalidades Alexa úteis principalmente pessoas esquecidas e smart devices Uso integrações o Google Calendar e lembretes torna fácil e cômodo criar eventos Alexa e lembretes vindos A integração a lâmpada inteligente Elgin sido simplesmente sensacional a quantidade skills qualidade várias valem a pena e a biblioteca crescido negativo queixas a aparentemente Brasil habilitar a Alexa entender 1 idioma simultâneamente s passar comandos inglês entende outro problema achado surda e s chamá-la entender e encontrei a funcionalidade treinar melhor a IA reconhecer melhor comandos,2021-02-16 00:00:00
negativo,Empolgado nao levei consideração o produto chegou saco papel a caixa produto porem muita facilidade descolei o lacre Marca dedos percebi controles toquei uso celular alexa relevei tambem O resto ok perfeito funcionamento Pessoalmemte vou aclopar caixa acustica melhor qualidade som nao chega a pés som Fire Tv instalado TV 3 estrelas Nao produto suspeita exclusivamente entrega d produto Imagino branco pessoas devolvem prazo,2021-06-03 00:00:00
